query	reference	CosineHungarian_0.0035_0.0_1.0_scores	CosineHungarian_0.0035_0.0_1.0_matches
Perylene	Perylene	0.9184279366287514	2
Phenanthrene	Phenanthrene	0.9330871181634398	2
Anthracene	Anthracene	0.936904528434214	2
Acenaphthylene	Acenaphthylene	0.9417977585419878	2
Acenaphthene	Acenaphthene	0.6436120559493244	2
Fluoranthene	Fluoranthene	0.9624656634202354	3
Pyrene	Pyrene	0.9410392612669212	2
para-Terphenyl	para-Terphenyl	0.9222347316702998	2
Retene	Retene	0.6145833087067638	2
Benzo[b]naphtho[2,1-d]thiophene	Benzo[b]naphtho[2,1-d]thiophene	0.9619863586136114	2
2,3-Benzofluorene	2,3-Benzofluorene	0.7245187691125206	3
Benzo[ghi]fluoranthene	Benzo[ghi]fluoranthene	0.9397118410959232	2
Triphenylene	Triphenylene	0.9212501050396342	2
Benzofluoranthene	Benzofluoranthene	0.9649027630818016	2
Benzo(k)fluoranthene	Benzo(k)fluoranthene	0.9561979954541022	2
Benzo[e]pyrene	Benzo[e]pyrene	0.9305366546591968	2
Benzo(a)pyrene	Benzo(a)pyrene	0.9464901115579232	2
Indeno[1,2,3-cd]pyrene	Indeno[1,2,3-cd]pyrene	0.9585275552253932	2
Benzo(g,h,i)perylene	Benzo(g,h,i)perylene	0.9393586347464596	2
Anthanthrene	Anthanthrene	0.943238944830447	2
Dibenzanthracene	Dibenzanthracene	0.9501829517244812	2
Coronene	Coronene	0.8940979317661641	1
Dicofol	Dicofol	0.8801417359921221	2
Benzophenone	Benzophenone	0.9035934882112032	3
2-tert-Butyl-4-methoxyphenol	2-tert-Butyl-4-methoxyphenol	0.5293934985262234	2
Butylated hydroxytoluene	Butylated hydroxytoluene	0.5969898890660734	2
Bumetrizole	Bumetrizole	0.224638955696116	1
4-Methylbenzophenone	4-Methylbenzophenone	0.6531981798366646	4
2,4,6-Tribromophenol	2,4,6-Tribromophenol	0.8180229631527912	2
2,6-Dichloro-4-nitroaniline	2,6-Dichloro-4-nitroaniline	0.2610606537427765	1
1-Methylphenanthrene	1-Methylphenanthrene	0.8463051220064014	2
Triclosan	Triclosan	0.2524912912066883	2
Drometrizole	Drometrizole	0.7771751503647503	1
Enzacamene	Enzacamene	0.3772028696669346	1
2,4-Di-tert-butyl-6-(5-chloro-2H-benzotriazol-2-yl)phenol	2,4-Di-tert-butyl-6-(5-chloro-2H-benzotriazol-2-yl)phenol	0.3119590891604218	2
Octrizole	Octrizole	0.4696856962028118	2
1,2,7,9-Tetrachlorodibenzofuran	1,2,7,9-Tetrachlorodibenzofuran	0.8844136509414571	3
2,2',3,4,5,5',6-Heptachlorobiphenyl	2,2',3,4,5,5',6-Heptachlorobiphenyl	0.5680044258948237	2
2,4,6-Trichlorobiphenyl	2,4,6-Trichlorobiphenyl	0.8312993570393191	3
